qid,unused,docid,relevance,query
108287,0,D3518488,1,cost per person for ptsd treatment
146244,0,D1114554,1,difference between a spruce and a fir tree
149853,0,D1152040,1,different kinds of spruce trees
257309,0,D51896,1,how long does it take to get your bsrn if you already have a bachelors degree
583916,0,D522714,1,what cause pain on your right side
617611,0,D41976,1,what degree do you need to become a nurse
658372,0,D226136,1,what event started world war 1
783433,0,D2564926,1,what is philosophical anthropology
850820,0,D2966416,1,what is the test for cholecystitis
853882,0,D2803937,1,what is the weather like in jamaica in january
1043337,0,D225914,1,what is the cause for tectonic plates
1043914,0,D222544,1,what is the best way to treat a cold sore that is scabbed over
1086708,0,D275769,1,what are the two major subdivisions of the nervous system?
1100458,0,D3248046,1,apria healthcare npi number
